C6,C6
C11,C11
C16,C16
C17,C17
C22,C22
C25,C25
C28,C28
C37,C37
C40,C40
C41,C41
C56,C56
C58,C58
C68,C68
C88,C88
C94,C94
C98,C98
C103,C103
C122,C122
C13,C13
C1,C1
C2,C2
C3,C3
C4,C4
C5,C5
C7,C7
C8,C8
C10,C10
C12,C12
C19,C19
C29,C29
C31,C31
C33,C33
C34,C34
C38,C38
C47,C47
C48,C48
C51,C51
C54,C54
C62,C62
C64,C64
C71,C71
C76,C76
C77,C77
C81,C81
C82,C82
C86,C86
C87,C87
C90,C90
C97,C97
C107,C107
C115,C115
C67,C67
C20,C20
C23,C23
C24,C24
C32,C32
C35,C35
C39,C39
C49,C49
C50,C50
C55,C55
C60,C60
C63,C63
C70,C70
C74,C74
C85,C85
C89,C89
C91,C91
C96,C96
C99,C99
C100,C100
C101,C101
C109,C109
C114,C114
C116,C116
C117,C117
C118,C118
C134,C134
C141,C141
C42,C42
C43,C43
C44,C44
C61,C61
C65,C65
C69,C69
C72,C72
C83,C83
C112,C112
C124,C124
C131,C131
C133,C133
C138,C138
C36,C36
C57,C57
C59,C59
C75,C75
C79,C79
C104,C104
C110,C110
C111,C111
C119,C119
C121,C121
C123,C123
C125,C125
C126,C126
C127,C127
C135,C135
C140,C140
C9,C9
C14,C14
C15,C15
C18,C18
C21,C21
C26,C26
C46,C46
C52,C52
C53,C53
C66,C66
C73,C73
C78,C78
C92,C92
C93,C93
C95,C95
C102,C102
C105,C105
C106,C106
C128,C128
C130,C130
C136,C136
C84,C84
C120,C120
C30,C30
